Tickers,Company Names
IBCA UW Equity,INTERVEST BNCS
IBKC UW Equity,IBERIABANK CORP
IBKR UW Equity,INTERACTIVE BROK
IBM UN Equity,IBM
IBOC UW Equity,INTL BANCSHARES
IBTX UQ Equity,INDEPENDENT BANK
ICE UN Equity,INTERCONTINENTAL
ICEL UQ Equity,CELLULAR DYNAMIC
ICFI UW Equity,ICF INTERNATIONA
ICGE UW Equity,ICG GROUP INC
ICON UW Equity,ICONIX BRAND GRO
ICPT UQ Equity,INTERCEPT PHARMA
ICUI UW Equity,ICU MEDICAL
IDA UN Equity,IDACORP INC
IDCC UW Equity,INTERDIGITAL INC
IDIX UW Equity,IDENIX PHARM
IDT UN Equity,IDT CORP-CLASS B
IDTI UW Equity,INTEGRAT DEVICE
IDXX UW Equity,IDEXX LABS
IEX UN Equity,IDEX CORP
IFF UN Equity,INTL FLVR & FRAG
IFT UN Equity,IMPERIAL HOLDING
IGT UN Equity,INTL GAME TECH
IGTE UW Equity,IGATE CORP
IHC UN Equity,INDEP HLDG CO
IHS UN Equity,IHS INC-CLASS A
IIIN UW Equity,INSTEEL INDS
IILG UW Equity,INTERVAL LEISURE
IIVI UW Equity,II-VI INC
IL UN Equity,INTRALINKS HOLDI
ILMN UW Equity,ILLUMINA INC
IM UN Equity,INGRAM MICRO INC
IMGN UW Equity,IMMUNOGEN INC
IMI UW Equity,INTERMOLECULAR I
IMKTA UW Equity,INGLES MARKETS-A
IMMR UW Equity,IMMERSION CORP
IMMU UQ Equity,IMMUNOMEDICS INC
IMN UN Equity,IMATION CORP
IMPV UN Equity,IMPERVA INC
INAP UW Equity,INTERNAP NETWORK
INCY UW Equity,INCYTE CORP
INDB UW Equity,INDEP BANK/MA
INFA UW Equity,INFORMATICA CORP
INFI UW Equity,INFINITY PHARMAC
INFN UW Equity,INFINERA CORP
INGR UN Equity,INGREDION INC
ININ UW Equity,INTERACTIVE INT
INN UN Equity,SUMMIT HOTEL PRO
INSM UR Equity,INSMED INC
INSY UQ Equity,INSYS THERAPEUTI
INT UN Equity,WORLD FUEL SVCS
INTC UW Equity,INTEL CORP
INTL UW Equity,INTL FCSTONE INC
INTU UW Equity,INTUIT INC
INTX UQ Equity,INTERSECTIONS IN
INVN UN Equity,INVENSENSE INC
INWK UW Equity,INNERWORKINGS IN
IO UN Equity,ION GEOPHYSICAL
IOSP UW Equity,INNOSPEC INC
IP UN Equity,INTL PAPER CO
IPAR UW Equity,INTER PARFUMS
IPCC UW Equity,INFINITY PROPERT
IPCM UW Equity,IPC THE HOSPITAL
IPG UN Equity,INTERPUBLIC GRP
IPGP UW Equity,IPG PHOTONICS
IPHI UN Equity,INPHI CORP
IPHS UW Equity,INNOPHOS HOLDING
IPI UN Equity,INTREPID POTASH
IPXL UW Equity,IMPAX LABS INC
IQNT UW Equity,INTELIQUENT INC
IR UN Equity,INGERSOLL-RAND
IRBT UW Equity,IROBOT CORP
IRC UN Equity,INLAND REAL ESTA
IRDM UW Equity,IRIDIUM COMMUNIC
IRET UN Equity,INVESTORS REAL
IRF UN Equity,INTL RECTIFIER
IRG UW Equity,IGNITE RESTAURAN
IRM UN Equity,IRON MOUNTAIN
IRWD UW Equity,IRONWOOD PHARMAC
ISBC UW Equity,INVESTORS BANCOR
ISCA UW Equity,INTL SPEEDWAY-A
ISH UN Equity,INTL SHIPHOLDING
ISIL UW Equity,INTERSIL CORP-A
ISIS UW Equity,ISIS PHARM
ISLE UW Equity,ISLE OF CAPRI
ISRG UW Equity,INTUITIVE SURGIC
ISRL UR Equity,ISRAMCO INC
ISSC UW Equity,INNOVATIVE SOL
ISSI UW Equity,INTEGRAT SIL SOL
IT UN Equity,GARTNER INC
ITC UN Equity,ITC HOLDINGS COR
ITG UN Equity,INVESTMENT TECH
ITIC UQ Equity,INVESTORS TITLE
ITMN UW Equity,INTERMUNE INC
ITRI UW Equity,ITRON INC
ITT UN Equity,ITT CORP
ITW UN Equity,ILLINOIS TOOL WO
IVC UN Equity,INVACARE CORP
IVR UN Equity,INVESCO MORTGAGE
IVZ UN Equity,INVESCO LTD
IXYS UW Equity,IXYS CORP
JACK UW Equity,JACK IN THE BOX
JAH UN Equity,JARDEN CORP
JAKK UW Equity,JAKKS PACIFIC
JAZZ UW Equity,JAZZ PHARMACEUTI
JBHT UW Equity,HUNT (JB) TRANS
JBL UN Equity,JABIL CIRCUIT
JBLU UW Equity,JETBLUE AIRWAYS
JBSS UW Equity,SANFILIPPO (JOHN
JBT UN Equity,JOHN BEAN TECH
JCI UN Equity,JOHNSON CONTROLS
JCOM UW Equity,J2 GLOBAL INC
JCP UN Equity,J.C. PENNEY CO
JDSU UW Equity,JDS UNIPHASE
JEC UN Equity,JACOBS ENGIN GRP
JIVE UW Equity,JIVE SOFTWARE IN
JJSF UW Equity,J & J SNACK FOOD
JKHY UW Equity,JACK HENRY
JLL UN Equity,JONES LANG LASAL
JMBA UQ Equity,JAMBA INC
JMI UN Equity,JAVELIN MORTGAGE
JMP UN Equity,JMP GROUP INC
JNJ UN Equity,JOHNSON&JOHNSON
JNPR UN Equity,JUNIPER NETWORKS
JNS UN Equity,JANUS CAPITAL GR
JNY UN Equity,JONES GROUP INC
JOE UN Equity,ST JOE CO
JONE UN Equity,JONES ENERGY - A
JOSB UW Equity,JOS A BANK CLOTH
JOUT UQ Equity,JOHNSON OUTDOO-A
JOY UN Equity,JOY GLOBAL INC
JPM UN Equity,JPMORGAN CHASE
JRN UN Equity,JOURNAL COMMUN-A
JW/A UN Equity,WILEY JOHN&SON-A
JWN UN Equity,NORDSTROM INC
K UN Equity,KELLOGG CO
KAI UN Equity,KADANT INC
KALU UW Equity,KAISER ALUMINUM
KAMN UN Equity,KAMAN CORP
KAR UN Equity,KAR AUCTION SERV
KBALB UW Equity,KIMBALL INTL -B
KBH UN Equity,KB HOME
KBIO UQ Equity,KALOBIOS PHARMAC
KBR UN Equity,KBR INC
KCAP UW Equity,KCAP FINANCIAL I
KCG UN Equity,KCG HOLDINGS-A
KCLI UR Equity,KANSAS CITY LIFE
KEG UN Equity,KEY ENERGY SERV
KELYA UW Equity,KELLY SERVICES-A
KEM UN Equity,KEMET CORP
KERX UR Equity,KERYX BIOPHARM
KEX UN Equity,KIRBY CORP
KEY UN Equity,KEYCORP
KEYW UW Equity,KEYW HOLDING COR
KFRC UW Equity,KFORCE INC
KFY UN Equity,KORN/FERRY INTL
KIM UN Equity,KIMCO REALTY
KIOR UW Equity,KIOR INC - CL A
KIRK UW Equity,KIRKLAND'S INC
KKD UN Equity,KRISPY KREME
KLAC UW Equity,KLA-TENCOR CORP
KMB UN Equity,KIMBERLY-CLARK
KMG UN Equity,KMG CHEMICALS
KMI UN Equity,KINDER MORGAN IN
KMPR UN Equity,KEMPER CORP
KMT UN Equity,KENNAMETAL INC
KMX UN Equity,CARMAX INC
KND UN Equity,KINDRED HEALTHCA
KNL UN Equity,KNOLL INC
KNX UN Equity,KNIGHT TRANSPORT
KO UN Equity,COCA-COLA CO/THE
KOG UN Equity,KODIAK OIL & GAS
KOP UN Equity,KOPPERS HOLDINGS
KOPN UW Equity,KOPIN CORP
KORS UN Equity,MICHAEL KORS HOL
KOS UN Equity,KOSMOS ENERGY LT
KR UN Equity,KROGER CO
KRA UN Equity,KRATON PERFORMAN
KRC UN Equity,KILROY REALTY
KRFT UW Equity,KRAFT FOODS GROU
KRG UN Equity,KITE REALTY GROU
KRNY UW Equity,KEARNY FINANCIAL
KRO UN Equity,KRONOS WORLDWIDE
KS UN Equity,KAPSTONE PAPER A
KSS UN Equity,KOHLS CORP
KSU UN Equity,KANSAS CITY SOUT
KTOS UW Equity,KRATOS DEFENSE &
KVHI UW Equity,KVH INDUSTRIES
KW UN Equity,KENNEDY-WILSON H
KWK UN Equity,QUICKSILVER RES
KWR UN Equity,QUAKER CHEMICAL
KYTH UW Equity,KYTHERA BIOPHARM
L UN Equity,LOEWS CORP
LABL UW Equity,MULTI-COLOR CORP
LAD UN Equity,LITHIA MOTORS-A
LAMR UW Equity,LAMAR ADVERTIS-A
LANC UW Equity,LANCASTER COLONY
LAYN UW Equity,LAYNE CHRISTENSN
LAZ UN Equity,LAZARD LTD-CL A
LBAI UW Equity,LAKELAND BANCORP
LBTYA UW Equity,LIBERTY GLOBAL-A
LBY UA Equity,LIBBEY INC
LCC UN Equity,US AIRWAYS GROUP
LCI UA Equity,LANNETT CO INC
LCNB UR Equity,LCNB CORPORATION
LCUT UW Equity,LIFETIME BRANDS
LDL UN Equity,LYDALL INC
LDOS UN Equity,LEIDOS HOLDINGS
LDR UN Equity,LANDAUER INC
LEA UN Equity,LEAR CORP
LEAP UW Equity,LEAP WIRELESS
LECO UW Equity,LINCOLN ELECTRIC
LEG UN Equity,LEGGETT & PLATT
LEN UN Equity,LENNAR CORP-A
LF UN Equity,LEAPFROG ENTERPR
LFUS UW Equity,LITTELFUSE INC
LFVN UR Equity,LIFEVANTAGE CORP
LG UN Equity,LACLEDE GROUP
LGF UN Equity,LIONS GATE
LGND UQ Equity,LIGAND PHARM-B
LH UN Equity,LABORATORY CP
LHCG UW Equity,LHC GROUP INC
LHO UN Equity,LASALLE HOTEL PR
LIFE UW Equity,LIFE TECHNOLOGIE
LII UN Equity,LENNOX INTL INC
LINC UW Equity,LINCOLN EDUCATIO
LINTA UW Equity,LIBERTY INTERA-A
LION UW Equity,FIDELITY SOUTHER
LIOX UW Equity,LIONBRIDGE TECH
LKFN UW Equity,LAKELAND FINL
LKQ UW Equity,LKQ CORP
LL UN Equity,LUMBER LIQUIDATO
LLEN UW Equity,L&L ENERGY INC
LLL UN Equity,L-3 COMM HLDGS
LLNW UW Equity,LIMELIGHT NETWOR
LLTC UW Equity,LINEAR TECH CORP
LLY UN Equity,ELI LILLY & CO
LM UN Equity,LEGG MASON INC
LMCA UW Equity,LIBERTY MEDIA -A
LMIA UW Equity,LMI AEROSPACE
LMNR UW Equity,LIMONEIRA CO
LMNX UW Equity,LUMINEX CORP
LMOS UW Equity,LUMOS NETWORKS C
LMT UN Equity,LOCKHEED MARTIN
LNC UN Equity,LINCOLN NATL CRP
LNCE UW Equity,SNYDERS-LANCE
LNDC UW Equity,LANDEC CORP
LNG UA Equity,CHENIERE ENERGY
LNKD UN Equity,LINKEDIN CORP-A
LNN UN Equity,LINDSAY CORP
LNT UN Equity,ALLIANT ENERGY
LO UN Equity,LORILLARD INC
LOCK UN Equity,LIFELOCK INC
LOGM UW Equity,LOGMEIN INC
LOPE UW Equity,GRAND CANYON EDU
LORL UW Equity,LORAL SPACE & CO
LOV UA Equity,SPARK NETWORKS
LOW UN Equity,LOWE'S COS INC
LPI UN Equity,LAREDO PETROLEUM
LPLA UW Equity,LPL FINANCIAL HO
LPNT UW Equity,LIFEPOINT HOSPIT
LPS UN Equity,LENDER PROCESSIN
LPSN UW Equity,LIVEPERSON INC
LPX UN Equity,LOUISIANA-PACIFI
LQDT UW Equity,LIQUIDITY SERVIC
LRCX UW Equity,LAM RESEARCH
LRN UN Equity,K12 INC
LRY UN Equity,LIBERTY PROP
LSCC UW Equity,LATTICE SEMICOND
LSE UN Equity,CAPLEASE INC
LSI UW Equity,LSI CORP
LSTR UW Equity,LANDSTAR SYSTEM
LTC UN Equity,LTC PROPERTIES
LTD UN Equity,L BRANDS INC
LTM UN Equity,LIFE TIME FITNES
LTS UA Equity,LADENBURG THALMA
LTXC UW Equity,LTX-CREDENCE COR
LUB UN Equity,LUBY'S INC
LUK UN Equity,LEUCADIA NATL
LUV UN Equity,SOUTHWEST AIR
LVLT UN Equity,LEVEL 3 COMM INC
LVNTA UW Equity,LIBERTY VENTUR-A
LVS UN Equity,LAS VEGAS SANDS
LWAY UQ Equity,LIFEWAY FOODS
LXFT UN Equity,LUXOFT HOLDING I
LXK UN Equity,LEXMARK INTL-A
LXP UN Equity,LEXINGTON REALTY
LXRX UW Equity,LEXICON PHARMACE
LXU UN Equity,LSB INDUS INC
LYB UN Equity,LYONDELLBASELL-A
LYTS UW Equity,LSI INDUSTRIES
LYV UN Equity,LIVE NATION ENTE
LZB UN Equity,LA-Z-BOY INC
M UN Equity,MACY'S INC
MA UN Equity,MASTERCARD INC-A
MAA UN Equity,MID-AMERICA APAR
MAC UN Equity,MACERICH CO
MACK UQ Equity,MERRIMACK PHARMA
MAIN UN Equity,MAIN STREET CAPI
MAKO UW Equity,MAKO SURGICAL
MAN UN Equity,MANPOWERGROUP IN
MANH UW Equity,MANHATTAN ASSOC
MANT UW Equity,MANTECH INTL-A
MAR UW Equity,MARRIOTT INTL-A
MAS UN Equity,MASCO CORP
MASI UW Equity,MASIMO CORP
MAT UW Equity,MATTEL INC
MATW UW Equity,MATTHEWS INTL-A
MATX UN Equity,MATSON INC
MBFI UW Equity,MB FINANCIAL
MBI UN Equity,MBIA INC
MBII UQ Equity,MARRONE BIO INNO
MBRG UR Equity,MIDDLEBURG FINAN
MBVT UW Equity,MERCHANTS BCSHS
MBWM UW Equity,MERCANTILE BANK
MCBC UW Equity,MACATAWA BANK
MCBI UW Equity,METROCORP BANCSH
MCC UN Equity,MEDLEY CAPITAL C
MCD UN Equity,MCDONALDS CORP
MCF UA Equity,CONTANGO OIL & G
MCGC UW Equity,MCG CAPITAL CORP
MCHP UW Equity,MICROCHIP TECH
MCHX UW Equity,MARCHEX INC-B
MCK UN Equity,MCKESSON CORP
MCO UN Equity,MOODY'S CORP
MCP UN Equity,MOLYCORP INC
MCRI UW Equity,MONARCH CASINO
MCRL UW Equity,MICREL INC
MCRS UW Equity,MICROS SYSTEMS
MCS UN Equity,MARCUS CORP
MCY UN Equity,MERCURY GEN CORP
MD UN Equity,MEDNAX INC
MDAS UW Equity,MEDASSETS INC
MDC UN Equity,MDC HOLDINGS INC
MDCA UW Equity,MDC PARTNERS-A
MDCI UW Equity,MED ACTION INDS
MDCO UW Equity,MEDICINES COMP
MDLZ UW Equity,MONDELEZ INTER-A
MDP UN Equity,MEREDITH CORP
MDR UN Equity,MCDERMOTT INTL
MDRX UW Equity,ALLSCRIPTS HEALT
MDSO UW Equity,MEDIDATA SOLUTIO
MDT UN Equity,MEDTRONIC INC
MDU UN Equity,MDU RES GROUP
MDVN UW Equity,MEDIVATION INC
MDW UA Equity,MIDWAY GOLD CORP
MDXG UR Equity,MIMEDX GROUP INC
MEAS UW Equity,MEASUREMENT SPEC
MED UN Equity,MEDIFAST INC
MEG UN Equity,MEDIA GENERAL-A
MEI UN Equity,METHODE ELEC
MEIP UR Equity,MEI PHARMA INC
MENT UW Equity,MENTOR GRAPHICS
MET UN Equity,METLIFE INC
METR UW Equity,METRO BANCORP IN
MFA UN Equity,MFA FINANCIAL
MFLX UW Equity,MULTI-FINELINE E
MFRM UW Equity,MATTRESS FIRM HO
MG UN Equity,MISTRAS GROUP IN
MGAM UW Equity,MULTIMEDIA GAMES
MGEE UW Equity,MGE ENERGY INC
MGI UW Equity,MONEYGRAM INTERN
MGLN UW Equity,MAGELLAN HEALTH
MGM UN Equity,MGM RESORTS INTE
MGRC UW Equity,MCGRATH RENTCORP
MHFI UN Equity,MCGRAW HILL FINA
MHGC UQ Equity,MORGANS HOTEL GR
MHK UN Equity,MOHAWK INDS
MHLD UW Equity,MAIDEN HOLDINGS
MHO UN Equity,M/I HOMES INC
MHR UN Equity,MAGNUM HUNTER RE
MIDD UW Equity,MIDDLEBY CORP
MIG UN Equity,MEADOWBROOK INS
MILL UN Equity,MILLER ENERGY RE
MIND UW Equity,MITCHAM INDS
MINI UW Equity,MOBILE MINI
MITK UR Equity,MITEK SYSTEMS
MITT UN Equity,AG MORTGAGE INVE
MJN UN Equity,MEAD JOHNSON
MKC UN Equity,MCCORMICK-N/V
MKL UN Equity,MARKEL CORP
MKSI UW Equity,MKS INSTRUMENTS
MKTG UW Equity,RESPONSYS INC
MKTO UW Equity,MARKETO INC
MKTX UW Equity,MARKETAXESS
MLAB UQ Equity,MESA LABS
MLHR UW Equity,HERMAN MILLER
MLI UN Equity,MUELLER INDS
MLM UN Equity,MARTIN MAR MTLS
MLNK UW Equity,MODUSLINK GLOBAL
MLR UN Equity,MILLER INDS/TENN
MM UN Equity,MILLENNIAL MEDIA
MMC UN Equity,MARSH & MCLENNAN
MMM UN Equity,3M CO
MMS UN Equity,MAXIMUS INC
MMSI UW Equity,MERIT MEDICAL
MN UN Equity,MANNING & NAPIER
MNI UN Equity,MCCLATCHY CO-A
MNK UN Equity,MALLINCKRODT
MNKD UQ Equity,MANNKIND CORP
MNR UN Equity,MONMOUTH REIT-A
MNRO UW Equity,MONRO MUFFLER
MNST UW Equity,MONSTER BEVERAGE
MNTA UW Equity,MOMENTA PHARMACE
MNTX UR Equity,MANITEX INTERNAT
MO UN Equity,ALTRIA GROUP INC
MOD UN Equity,MODINE MFG CO
MODN UN Equity,MODEL N INC
MOFG UW Equity,MIDWESTONE FINAN
MOG/A UN Equity,MOOG INC-CLASS A
MOH UN Equity,MOLINA HEALTHCAR
MOLX UW Equity,MOLEX INC
MON UN Equity,MONSANTO CO
MORN UW Equity,MORNINGSTAR INC
MOS UN Equity,MOSAIC CO/THE
MOSY UQ Equity,MOSYS INC
MOV UN Equity,MOVADO GROUP
MOVE UW Equity,MOVE INC
MPC UN Equity,MARATHON PETROLE
MPO UN Equity,MIDSTATES PETROL
MPW UN Equity,MEDICAL PROPERTI
MPWR UW Equity,MONOLITHIC POWER
MPX UN Equity,MARINE PRODUCTS
MRC UN Equity,MRC GLOBAL INC
MRCY UW Equity,MERCURY SYSTEMS
MRGE UW Equity,MERGE HEALTHCARE
MRH UN Equity,MONTPELIER RE
MRIN UN Equity,MARIN SOFTWARE I
MRK UN Equity,MERCK & CO
MRLN UW Equity,MARLIN BUSINESS
MRO UN Equity,MARATHON OIL
MRTN UW Equity,MARTEN TRANSPORT
MRVL UW Equity,MARVELL TECH GRP
MS UN Equity,MORGAN STANLEY
MSA UN Equity,MINE SAFETY APPL
MSCC UW Equity,MICROSEMI CORP
MSCI UN Equity,MSCI INC
MSEX UW Equity,MIDDLESEX WATER
MSFG UW Equity,MAINSOURCE FINAN
MSFT UW Equity,MICROSOFT CORP
MSG UW Equity,MADISON SQUARE-A
MSI UN Equity,MOTOROLA SOLUTIO
MSL UN Equity,MIDSOUTH BANCORP
MSM UN Equity,MSC INDL DIRECT
MSO UN Equity,MARTHA STEWART-A
MSPD UW Equity,MINDSPEED TECHNO
MSTR UW Equity,MICROSTRATEGY
MTB UN Equity,M&T BANK CORP
MTD UN Equity,METTLER-TOLEDO
MTDR UN Equity,MATADOR RESOURCE
MTG UN Equity,MGIC INVT CORP
MTGE UW Equity,AMERICAN CAPITAL
MTH UN Equity,MERITAGE HOMES C
MTN UN Equity,VAIL RESORTS
MTOR UN Equity,MERITOR INC
MTRN UN Equity,MATERION CORP
MTRX UW Equity,MATRIX SERVICE
MTSC UW Equity,MTS SYSTEMS CORP
MTSI UW Equity,MA-COM TECHNOLOG
MTW UN Equity,MANITOWOC CO
MTX UN Equity,MINERALS TECH
MTZ UN Equity,MASTEC INC
MU UW Equity,MICRON TECH
MUR UN Equity,MURPHY OIL CORP
MUSA UN Equity,MURPHY USA INC
MVC UN Equity,MVC CAPITAL INC
MW UN Equity,MEN'S WEARHOUSE
MWA UN Equity,MUELLER WATER-A
MWIV UW Equity,MWI VETERINARY S
MWV UN Equity,MEADWESTVACO COR
MWW UN Equity,MONSTER WORLDWID
MXIM UW Equity,MAXIM INTEGRATED
MXL UN Equity,MAXLINEAR-CLS A
MXWL UW Equity,MAXWELL TECH INC
MYE UN Equity,MYERS INDS INC
MYGN UW Equity,MYRIAD GENETICS
MYL UW Equity,MYLAN INC
MYRG UW Equity,MYR GROUP INC/DE
N UN Equity,NETSUITE INC
NAFC UW Equity,NASH FINCH CO
NANO UW Equity,NANOMETRICS INC
NASB UR Equity,NASB FINANCIAL
NAT UN Equity,NORDIC AMERICAN
NATH UQ Equity,NATHANS FAMOUS
NATI UW Equity,NATL INSTRUMENTS
NATL UW Equity,NATIONAL INTERST
NATR UR Equity,NATURE'S SUNSHNE
NAV UN Equity,NAVISTAR INTL
NAVB UA Equity,NAVIDEA BIOPHARM
NAVG UW Equity,NAVIGATORS GROUP
NBBC UW Equity,NEWBRIDGE BANCOR
NBCB UW Equity,FIRST NBC BANK H
NBHC UN Equity,NATIONAL-CL A
NBIX UW Equity,NEUROCRINE BIOSC
NBL UN Equity,NOBLE ENERGY INC
NBR UN Equity,NABORS INDS LTD
NBTB UW Equity,NBT BANCORP INC
NC UN Equity,NACCO INDS-CL A
NCI UN Equity,NAVIGANT CONSULT
NCLH UW Equity,NORWEGIAN CRUISE
NCMI UW Equity,NATIONAL CINEMED
NCR UN Equity,NCR CORP
NCS UN Equity,NCI BUILDING SYS
NDAQ UW Equity,NASDAQ OMX GROUP
NDLS UW Equity,NOODLES & CO
NDSN UW Equity,NORDSON CORP
NEE UN Equity,NEXTERA ENERGY
NEM UN Equity,NEWMONT MINING
NEO UR Equity,NEOGENOMICS INC
NEOG UW Equity,NEOGEN CORP
NEON UR Equity,NEONODE INC
NES UN Equity,NUVERRA ENVIRONM
NETE UR Equity,NET ELEMENT INTE
NEU UN Equity,NEWMARKET CORP
NEWP UW Equity,NEWPORT CORP
NEWS UW Equity,NEWSTAR FINANCIA
NFBK UW Equity,NORTHFIELD BANCO
NFG UN Equity,NATL FUEL GAS CO
NFLX UW Equity,NETFLIX INC
NFX UN Equity,NEWFIELD EXPLORA
NGPC UW Equity,NGP CAP RES CO
NGS UN Equity,NATURAL GAS SERV
NGVC UN Equity,NATURAL GROCERS
NHC UA Equity,NATL HEALTHCARE
NHI UN Equity,NATL HEALTH INV
NI UN Equity,NISOURCE INC
NICK UW Equity,NICHOLAS FINL
NIHD UW Equity,NII HOLDING INC
NILE UW Equity,BLUE NILE INC
NJR UN Equity,NEW JERSEY RES
NKE UN Equity,NIKE INC -CL B
NKSH UR Equity,NATL BKSHS INC
NKTR UW Equity,NEKTAR THERAPEUT
NL UN Equity,NL INDUSTRIES
NLNK UQ Equity,NEWLINK GENETICS
NLS UN Equity,NAUTILUS INC
NLSN UN Equity,NIELSEN HOLDINGS
NLY UN Equity,ANNALY CAPITAL M
NMFC UN Equity,NEW MOUNTAIN FIN
NMRX UQ Equity,NUMEREX CORP-A
NNBR UW Equity,NN INC
NNI UN Equity,NELNET INC-CL A
NNN UN Equity,NATIONAL RETAIL
NOC UN Equity,NORTHROP GRUMMAN
NOG UA Equity,NORTHERN OIL AND
NOR UN Equity,NORANDA ALUMINUM
NOV UN Equity,NATL OILWELL VAR
NOW UN Equity,SERVICENOW INC
NP UN Equity,NEENAH PAPER INC
NPBC UW Equity,NATL PENN BCSHS
NPK UN Equity,NATL PRESTO INDS
NPO UN Equity,ENPRO INDUSTRIES
NPSP UQ Equity,NPS PHARM INC
NPTN UN Equity,NEOPHOTONICS COR
NR UN Equity,NEWPARK RESOURCE
NRCIA UW Equity,NATL RESEARCH-A
NRF UN Equity,NORTHSTAR REALTY
NRG UN Equity,NRG ENERGY
NRIM UW Equity,NORTHRIM BANCORP
NRZ UN Equity,NEW RESIDENT
NSC UN Equity,NORFOLK SOUTHERN
NSIT UW Equity,INSIGHT ENTERPRI
NSM UN Equity,NATIONSTAR MORTG
NSP UN Equity,INSPERITY INC
NSPH UQ Equity,NANOSPHERE INC
NSR UN Equity,NEUSTAR INC-CL A
NTAP UW Equity,NETAPP INC
NTCT UW Equity,NETSCOUT SYSTEMS
NTGR UW Equity,NETGEAR INC
NTK UW Equity,NORTEK INC
NTLS UW Equity,NTELOS HOLDINGS
NTRI UW Equity,NUTRISYSTEM INC
NTRS UW Equity,NORTHERN TRUST
NTSC UQ Equity,NATL TECH SYSTEM
NU UN Equity,NORTHEAST UTILS
NUAN UW Equity,NUANCE COMMUNICA
NUE UN Equity,NUCOR CORP
NUS UN Equity,NU SKIN ENTERP-A
NUTR UW Equity,NUTRACEUTICAL IN
NUVA UW Equity,NUVASIVE INC
NVAX UW Equity,NOVAVAX INC
NVDA UW Equity,NVIDIA CORP
NVE UN Equity,NV ENERGY INC
NVEC UR Equity,NVE CORP
NVR UN Equity,NVR INC
NWBI UW Equity,NORTHWEST BANCSH
NWE UN Equity,NORTHWESTERN COR
NWL UN Equity,NEWELL RUBBERMAI
NWLI UW Equity,NATL WEST LIFE-A
NWN UN Equity,NORTHWEST NAT GS
NWPX UW Equity,NORTHWEST PIPE
NWSA UW Equity,NEWS CORP-CL A
NWY UN Equity,NEW YORK & CO
NX UN Equity,QUANEX BUILDING
NXST UQ Equity,NEXSTAR BROADC-A
NXTM UW Equity,NXSTAGE MEDICAL
NYCB UN Equity,NY COMM BANCORP
NYLD UN Equity,NRG YIELD INC-A
NYMT UW Equity,NEW YORK MTGE
NYT UN Equity,NEW YORK TIMES-A
NYX UN Equity,NYSE EURONEXT
O UN Equity,REALTY INCOME
OABC UW Equity,OMNIAMERICAN BAN
OAS UN Equity,OASIS PETROLEUM
OB UN Equity,ONEBEACON INS-A
OC UN Equity,OWENS CORNING
OCFC UW Equity,OCEANFIRST FINL
OCN UN Equity,OCWEN FINL CORP
OCR UN Equity,OMNICARE INC
ODC UN Equity,OIL DRI CORP
ODFL UW Equity,OLD DOMINION FRT
ODP UN Equity,OFFICE DEPOT INC
OEH UN Equity,ORIENT EXPRESS-A
OFC UN Equity,CORP OFFICE PROP
OFG UN Equity,OFG BANCORP
OFIX UW Equity,ORTHOFIX INTL
OFLX UQ Equity,OMEGA FLEX INC
OGE UN Equity,OGE ENERGY CORP
OGXI UR Equity,ONCOGENEX PHARMA
OHI UN Equity,OMEGA HEALTHCARE
OI UN Equity,OWENS-ILLINOIS
OII UN Equity,OCEANEERING INTL
OIS UN Equity,OIL STATES INTL
OKE UN Equity,ONEOK INC
OKSB UW Equity,SOUTHWEST BAN/OK
OLED UW Equity,UNIVERSAL DISPLA
OLN UN Equity,OLIN CORP
OLP UN Equity,ONE LIBERTY PROP
OMC UN Equity,OMNICOM GROUP
OMCL UW Equity,OMNICELL INC
OME UN Equity,OMEGA PROTEIN CP
OMED UW Equity,ONCOMED PHARMACE
OMER UQ Equity,OMEROS CORP
OMEX UR Equity,ODYSSEY MARINE
OMG UN Equity,OM GROUP INC
OMI UN Equity,OWENS & MINOR
OMN UN Equity,OMNOVA SOLUTIONS
OMX UN Equity,OFFICEMAX INC
ONB UW Equity,OLD NATL BANCORP
ONE UN Equity,HIGHER ONE HOLD
ONNN UW Equity,ON SEMICONDUCTOR
ONTX UW Equity,ONCONOVA THERAPE
OPEN UW Equity,OPENTABLE INC
OPK UN Equity,OPKO HEALTH
OPLK UW Equity,OPLINK COMMUNICA
OPTR UW Equity,OPTIMER PHARMACE
OPY UN Equity,OPPENHEIMER HO-A
ORA UN Equity,ORMAT TECHNOLOGI
ORB UN Equity,ORBITAL SCIENCES
ORBC UQ Equity,ORBCOMM INC
ORCL UN Equity,ORACLE CORP
OREX UW Equity,OREXIGEN THERAPE
ORI UN Equity,OLD REPUB INTL
ORIT UW Equity,ORITANI FINANCIA
ORLY UW Equity,O'REILLY AUTOMOT
ORN UN Equity,ORION MARINE
OSIR UQ Equity,OSIRIS THERAPEUT
OSIS UW Equity,OSI SYSTEMS INC
OSK UN Equity,OSHKOSH CORP
OSTK UQ Equity,OVERSTOCK.COM
OSUR UW Equity,ORASURE TECH
OTTR UW Equity,OTTER TAIL CORP
OUTR UW Equity,OUTERWALL INC
OVAS UQ Equity,OVASCIENCE INC
OVTI UW Equity,OMNIVISION TECH
OWW UN Equity,ORBITZ WORLDWIDE
OXM UN Equity,OXFORD INDS INC
OXY UN Equity,OCCIDENTAL PETE
OZRK UW Equity,BANK OZARKS
P UN Equity,PANDORA MEDIA IN
PACB UW Equity,PACIFIC BIOSCIEN
