Date,AA UN Equity,AXP UN Equity,BA UN Equity,BAC UN Equity,CAT UN Equity,CSCO UW Equity,CVX UN Equity,DD UN Equity,DIS UN Equity,GE UN Equity,HD UN Equity,HPQ UN Equity,IBM UN Equity,INTC UW Equity,JNJ UN Equity,JPM UN Equity,KO UN Equity,MCD UN Equity,MMM UN Equity,MRK UN Equity,MSFT UW Equity,PFE UN Equity,PG UN Equity,T UN Equity,TRV UN Equity,UNH UN Equity,UTX UN Equity,VZ UN Equity,WMT UN Equity,XOM UN Equity
2010/12/31,15.39,42.92,65.26,13.34,93.66,20.23,91.25,49.88,37.51,18.29,35.06,42.1,146.76,21.03,61.85,42.42,32.885,76.76,86.3,36.04,27.92,17.51,64.33,29.38,55.71,36.11,78.72,35.78,53.93,73.12
2011/1/3,15.8,43.4,66.4,14.19,94.15,20.49,91.94,50.03,37.82,18.28,35.31,42.74,147.48,20.85,62.82,43.58,32.61,76.6,86.79,36.04,27.98,17.68,64.77,29.67,55.82,37.13,78.99,36.43,54.56,74.55
2011/1/4,16.52,43.95,66.94,14.24,93.71,20.53,91.6,49.89,38.99,18.61,34.67,43.63,147.64,21.14,63.35,44.16,31.935,74.31,86.67,36.35,28.04,17.99,64.95,29.88,55.57,37.47,79.12,37.16,54.77,74.9
2011/1/5,16.56,45.04,67.48,14.5,94.52,20.77,91.44,50.22,39.96,18.64,34.56,44.2,147.05,20.94,63.31,44.7,31.745,74.66,86.67,36.56,28,18.11,64.8,29.98,55.24,37.59,79.23,37.67,54.41,74.7
2011/1/6,16.36,44.73,68.8,14.44,93.54,20.95,90.69,49.98,39.65,18.56,34.42,44.88,148.66,20.77,63.21,44.48,31.515,74.21,86.14,37.06,28.8,18.18,64.69,29.15,54.39,38.37,79.15,36.23,53.96,75.18
2011/1/7,16.42,44.36,69.38,14.25,93.73,20.97,91.19,49.76,39.45,18.43,34.38,45.09,147.93,20.66,62.6,43.64,31.46,74.37,86.23,37.35,28.58,18.34,64.5,28.85,53.33,38.45,79.08,35.93,54.08,75.59
2011/1/10,16.49,44.46,69.09,14.4,93.39,20.78,90.41,49.03,39.5,18.51,34.39,44.86,147.64,20.69,62.16,43.4,31.53,73.56,87.15,37.2,28.21,18.25,64.36,28.34,53.85,38.45,78.46,35.92,53.73,75.15
2011/1/11,16.33,45.04,68.96,14.69,93.95,20.88,91.83,48.97,39.4,18.63,34.86,45.43,147.28,21.05,62.27,43.6,31.345,73.9,87.74,36.95,28.13,18.22,64.04,27.91,53.9,39.08,78.92,35.36,54.29,75.69
2011/1/12,16.24,45,70.15,14.99,93.49,21.1,92.45,49.1,39.17,18.67,34.83,45.64,149.1,21.3,62.5,44.71,31.52,73.61,88.66,37.15,28.54,18.37,64.97,28.04,54.59,38.86,79.43,35.47,54.85,76.58
2011/1/13,15.75,45.06,69.83,14.77,94.14,21.08,92.18,49.39,39.26,18.6,35.27,45.65,148.82,21.29,62.91,44.45,31.7,72.67,88.04,34.69,28.19,18.22,65.48,28.08,54.67,39.6,79.5,35.8,54.79,76.71
2011/1/14,15.97,46.25,70.07,15.25,94.01,21.21,92.83,49.8,39.29,18.82,35.89,46.25,150,21.08,62.55,44.91,31.565,74.06,88.1,34.23,28.3,18.34,65.53,28.43,54.63,40.77,79.08,35.46,54.81,77.84
2011/1/18,16.27,46.37,72.47,15,96.23,21.23,93.35,49.7,39.39,18.62,36.02,46.34,150.65,21.09,62.1,44.75,31.74,74.68,88.14,33.87,28.66,18.39,65.49,28.33,54.67,40.88,79.57,34.36,55.14,78.72
2011/1/19,16.06,45.24,71.73,14.37,95.54,20.82,92.97,48.88,39.09,18.33,35.63,46.32,155.69,21.01,62.56,43.71,31.71,75.35,87.96,33.91,28.47,18.32,65.35,28.33,54.45,40.56,79.91,34.6,55.03,78.24
2011/1/20,15.98,45.27,71.12,14.54,93.61,20.76,92.71,48.12,39.17,18.43,36.49,46.76,155.8,20.95,62.86,44.75,31.465,75.16,88.04,34.05,28.36,18.24,65.8,28.23,54.88,40.31,79.55,34.61,55.99,77.75
2011/1/21,15.8,46,71.68,14.25,92.75,20.74,93.78,48.35,39.74,19.74,36.51,47.22,155.5,20.82,62.66,45.29,31.38,75.01,89.29,33.9,28.02,18.36,65.91,28.33,55,40.41,80.2,34.95,55.73,78.98
2011/1/24,16.43,45.79,72.73,13.92,94.57,21.17,94.1,48.89,39.94,20.04,36.65,47.55,159.63,21.24,62.22,45.02,31.625,75.38,90.32,33.8,28.38,18.45,66.58,28.48,55.62,39.81,81.52,35.24,56.05,78.59
2011/1/25,16.24,44.8,72.24,13.63,94.39,21.54,94.08,49.04,39.86,19.98,37.16,47.08,161.44,21.56,61.08,44.87,31.48,75.48,88.5,33.36,28.45,18.47,66.7,28.76,56.23,40.62,81.73,35.79,57.26,78.68
2011/1/26,16.6,44.46,70.02,13.55,95.75,21.38,94.64,50.32,39.44,19.92,37.42,46.88,161.04,21.75,60.6,44.98,31.48,75.17,89.57,33.2,28.75,18.36,66.11,28.73,56.2,40.25,81.41,36.4,57.32,79.66
2011/1/27,16.47,44.54,70.56,13.67,96.63,21.45,94.75,50.27,39.46,20.28,37.98,46.74,161.07,21.75,60.68,45.1,31.35,74.35,89.19,33.25,28.83,18.48,64.18,28.13,56.63,42.29,82.59,36.49,57.57,79.88
